Date,Opponent,Result,SP,K,E,TA,PCT,AST,SA,SE,DIG,RE,BS,BA,BE,TB,BHE,PTS,G,Team
1/17/2025, Hawaii,L,3,29,19,74,0.135,28,0,8,20,9,1,15,1,8.5,0,37.5,M,princeton
1/24/2025, Saint Francis,W,5,47,19,96,0.292,45,7,31,41,11,1,3,3,2.5,0,56.5,M,princeton
1/26/2025, Queens (NC),W,3,37,9,66,0.424,35,7,16,20,3,1,4,0,3,1,47,M,princeton
1/31/2025, FDU,W,3,32,8,59,0.407,31,9,16,21,4,2,18,0,11,0,52,M,princeton
2/7/2025, LIU,L,4,49,29,134,0.149,43,3,14,50,4,2,17,0,10.5,1,62.5,M,princeton
2/14/2025, NJIT,W,4,50,17,96,0.344,48,5,17,31,7,2,17,0,10.5,0,65.5,M,princeton
2/21/2025, Charleston (WV),L,4,53,18,119,0.294,52,7,22,32,6,2,12,0,8,0,68,M,princeton
2/22/2025, Charleston (WV),W,4,54,18,109,0.33,51,6,16,35,3,9,10,0,14,0,74,M,princeton
2/28/2025, NJIT,W,4,43,17,83,0.313,36,7,18,22,4,4,23,0,15.5,0,65.5,M,princeton
3/1/2025, Lincoln Memorial,L,3,33,12,82,0.256,30,2,15,20,7,2,9,0,6.5,0,41.5,M,princeton
3/10/2025, UC San Diego,L,4,39,17,90,0.244,36,2,20,24,10,1,16,0,9,1,50,M,princeton
3/12/2025, CSUN,L,4,54,22,101,0.317,52,4,19,27,3,3,6,0,6,0,64,M,princeton
3/15/2025, Long Beach St.,L,3,27,15,74,0.162,26,1,13,18,8,1,13,6,7.5,0,35.5,M,princeton
3/22/2025, Daemen,W,4,47,13,95,0.358,43,12,18,26,6,1,15,0,8.5,0,67.5,M,princeton
3/28/2025, Sacred Heart,W,4,42,25,106,0.16,41,4,15,41,1,2,20,2,12,0,58,M,princeton
3/29/2025, Sacred Heart,W,3,37,10,75,0.36,33,6,9,27,4,1,14,0,8,0,51,M,princeton
4/4/2025, George Mason,W,4,53,15,114,0.333,51,8,16,48,4,2,46,0,25,0,86,M,princeton
4/5/2025, George Mason,W,3,38,14,74,0.324,33,5,14,31,3,4,10,0,9,0,52,M,princeton
4/11/2025, Harvard,W,3,51,13,97,0.392,48,4,16,27,3,4,7,0,7.5,0,62.5,M,princeton
4/12/2025, Harvard,W,5,51,26,122,0.205,47,6,16,34,10,5,8,0,9,0,66,M,princeton
4/18/2025, Penn St.,W,4,49,23,121,0.215,46,4,18,40,3,2,32,0,18,0,71,M,princeton
4/19/2025, Penn St.,L,3,31,11,62,0.323,29,2,12,20,11,0,10,0,5,1,38,M,princeton
4/24/2025, George Mason,W,4,60,19,115,0.357,57,7,20,29,3,0,26,5,13,0,80,M,princeton
4/26/2025, Penn St.,L,3,32,18,88,0.159,31,7,9,28,5,2,9,3,6.5,0,45.5,M,princeton
1/9/2025, Daemen,W,4,44,13,98,0.316,40,4,18,31,5,1,24,5,13,0,61,M,usc
1/11/2025, Princeton,W,3,42,13,95,0.305,39,2,16,33,1,3,16,1,11,0,55,M,usc
1/17/2025, D'Youville,W,3,32,8,72,0.333,28,4,13,29,4,4,10,0,9,0,45,M,usc
1/18/2025, Emmanuel (GA),W,3,36,6,61,0.492,30,5,9,29,1,1,21,2,11.5,0,52.5,M,usc
1/22/2025, CSUN,W,4,57,13,113,0.389,49,3,13,37,3,2,30,2,17,0,77,M,usc
1/29/2025, Central St. (OH),W,3,44,7,75,0.493,38,3,7,32,0,0,18,2,9,0,56,M,usc
1/31/2025, Ohio St.,W,4,56,11,90,0.5,54,2,15,23,5,1,25,2,13.5,0,71.5,M,usc
2/1/2025, Penn St.,W,4,59,7,110,0.473,55,4,19,35,5,0,14,0,7,0,70,M,usc
2/8/2025, Dominican (NY),W,3,42,4,55,0.691,38,8,10,25,0,0,8,4,4,0,54,M,usc
2/12/2025, UC Irvine,L,5,75,23,167,0.311,71,3,16,58,4,2,16,4,10,0,88,M,usc
2/14/2025, UC Irvine,L,3,40,20,94,0.213,40,1,9,26,3,0,8,2,4,0,45,M,usc
2/26/2025, Vanguard,W,3,43,10,73,0.452,41,7,16,24,3,1,17,1,9.5,0,59.5,M,usc
2/28/2025, Vanguard,W,3,45,7,85,0.447,40,2,15,42,3,1,16,0,9,0,56,M,usc
3/7/2025, BYU,W,5,66,24,126,0.333,65,2,18,39,13,1,30,6,16,1,84,M,usc
3/8/2025, BYU,W,3,46,9,94,0.394,43,2,11,28,4,1,20,6,11,0,59,M,usc
3/13/2025, Penn St.,W,3,30,15,65,0.231,30,6,9,21,7,4,24,2,16,0,52,M,usc
3/14/2025, Ball St.,W,3,50,14,87,0.414,48,5,11,28,0,0,6,0,3,0,58,M,usc
3/15/2025, Hawaii,W,4,57,11,118,0.39,55,7,10,35,6,1,17,2,9.5,0,73.5,M,usc
3/28/2025, Grand Canyon,W,4,53,10,98,0.439,51,6,18,28,3,4,13,4,10.5,0,69.5,M,usc
3/29/2025, Grand Canyon,W,4,55,19,129,0.279,50,2,11,47,4,1,14,1,8,0,65,M,usc
4/3/2025, Pepperdine,W,4,57,17,132,0.303,52,5,12,42,4,0,23,3,11.5,0,73.5,M,usc
4/5/2025, Pepperdine,L,4,39,24,113,0.133,38,4,12,34,7,0,16,1,8,0,51,M,usc
4/11/2025, Stanford,L,5,56,19,131,0.282,48,2,14,33,4,3,18,1,12,0,70,M,usc
4/12/2025, Stanford,L,4,62,22,142,0.282,61,3,12,40,4,2,17,5,10.5,0,75.5,M,usc
4/17/2025, UCLA,L,5,44,21,104,0.221,44,5,17,29,8,4,17,4,12.5,0,61.5,M,usc
4/19/2025, UCLA,W,3,35,9,61,0.426,31,7,14,14,3,5,8,1,9,0,51,M,usc
4/25/2025, Stanford,W,4,49,19,101,0.297,47,3,16,26,4,7,20,1,17,0,69,M,usc
4/26/2025, Pepperdine,L,4,48,17,134,0.231,47,2,19,49,8,4,23,1,15.5,2,65.5,M,usc
04/17/2024,Southern California,L,5,70,21,139,0.353,68,6,22,45,6,3,12,3,9,0,85,M,byu
04/06/2024,Southern California,L,5,70,25,160,0.281,66,12,21,42,5,1,23,3,12.5,0,94.5,M,byu
04/05/2024,Southern California,W,4,52,18,92,0.37,50,3,17,30,3,1,24,2,13,0,68,M,byu
03/30/2024,CUI,W,3,41,7,80,0.425,35,4,12,30,0,0,12,0,6,0,51,M,byu
03/29/2024,CUI,W,3,45,17,98,0.286,43,4,17,32,4,1,16,0,9,2,58,M,byu
03/23/2024,Pepperdine,W,5,67,16,138,0.37,60,3,19,53,8,3,28,3,17,0,87,M,byu
03/22/2024,Pepperdine,W,5,53,28,121,0.207,51,9,12,45,4,1,22,0,12,0,74,M,byu
03/09/2024,Stanford,L,3,37,18,85,0.224,36,2,8,33,12,1,5,2,3.5,0,42.5,M,byu
03/08/2024,Stanford,W,5,64,18,143,0.322,60,6,17,46,9,1,11,0,6.5,0,76.5,M,byu
02/24/2024,UCLA,L,5,45,19,131,0.198,42,3,20,35,8,1,11,1,6.5,0,54.5,M,byu
02/23/2024,UCLA,W,5,61,15,118,0.39,56,11,27,27,3,1,0,0,1,0,73,M,byu
02/17/2024,Grand Canyon,L,3,36,15,76,0.276,33,4,12,21,5,0,12,3,6,1,46,M,byu
02/16/2024,Grand Canyon,L,3,45,20,111,0.225,41,3,16,24,5,2,9,0,6.5,2,54.5,M,byu
02/10/2024,LIU,W,3,34,9,80,0.313,36,9,16,16,0,2,17,1,10.5,0,53.5,M,byu
02/08/2024,LIU,W,3,39,18,85,0.247,35,6,11,23,1,1,8,0,5,0,50,M,byu
01/27/2024,UC Irvine,L,5,55,32,137,0.168,51,7,17,45,4,1,14,2,8,1,70,M,byu
01/26/2024,UC Irvine,L,4,44,14,112,0.268,40,2,14,34,9,1,23,0,12.5,0,58.5,M,byu
01/23/2024,Princeton,W,3,37,10,73,0.37,37,4,13,22,3,0,4,0,2,0,43,M,byu
01/22/2024,Princeton,W,3,31,11,61,0.328,30,4,15,20,5,1,16,1,9,0,44,M,byu
01/20/2024,UC Santa Barbara,W,3,46,11,77,0.455,44,4,21,18,3,0,15,1,7.5,0,57.5,M,byu
01/19/2024,UC Santa Barbara,W,4,49,16,101,0.327,49,7,16,34,10,2,7,2,5.5,1,61.5,M,byu
01/13/2024,Lewis,L,5,47,16,113,0.274,42,9,18,34,9,0,16,0,8,1,64,M,byu
01/11/2024,Loyola Chicago,W,5,61,24,126,0.294,60,5,16,47,9,0,19,1,9.5,0,75.5,M,byu
01/06/2024,Ball St.,W,3,29,7,58,0.379,26,6,14,18,1,2,11,2,7.5,0,42.5,M,byu
01/05/2024,Ball St.,W,3,39,15,78,0.308,37,4,13,24,0,3,5,0,5.5,0,48.5,M,byu
1/10/2025, Saint Francis,W,3,32,3,63,0.46,28,5,18,21,4,1,12,1,7,0,44,M,ucla
1/17/2025, Penn St.,W,3,27,11,53,0.302,27,5,22,15,4,2,18,1,11,0,43,M,ucla
1/18/2025, Ohio St.,L,4,47,15,91,0.352,45,4,27,25,7,3,18,2,12,0,63,M,ucla
1/23/2025, UC San Diego,W,4,51,17,109,0.312,49,16,25,34,11,2,10,1,7,0,74,M,ucla
1/24/2025, CSUN,W,4,47,15,88,0.364,42,12,14,32,7,1,24,2,13,0,72,M,ucla
1/31/2025, Penn St.,W,3,41,10,69,0.449,39,6,21,16,5,0,13,0,6.5,0,53.5,M,ucla
2/1/2025, Ohio St.,W,4,48,15,101,0.327,46,12,19,27,7,0,25,0,12.5,0,72.5,M,ucla
2/7/2025, Long Beach St.,L,4,44,16,92,0.304,41,3,26,19,9,1,10,3,6,0,53,M,ucla
2/12/2025, Long Beach St.,L,3,38,12,72,0.361,36,1,15,16,3,1,8,0,5,0,44,M,ucla
2/19/2025, UC Irvine,W,3,45,11,77,0.442,41,4,22,23,9,0,14,3,7,0,56,M,ucla
2/22/2025, UC Irvine,W,5,56,15,101,0.406,54,13,20,30,3,1,14,5,8,1,77,M,ucla
2/26/2025, UC Santa Barbara,W,4,41,18,97,0.237,37,9,21,23,5,2,15,0,9.5,0,59.5,M,ucla
2/28/2025, UC Santa Barbara,W,4,53,7,86,0.535,52,4,26,31,4,0,16,0,8,0,65,M,ucla
3/6/2025, Stanford,W,4,55,13,101,0.416,53,8,30,25,4,1,16,0,9,1,72,M,ucla
3/7/2025, Stanford,W,3,34,15,75,0.253,29,5,21,24,3,1,27,0,14.5,0,53.5,M,ucla
3/13/2025, Vanguard,W,3,37,12,74,0.338,34,7,21,14,2,1,15,1,8.5,0,52.5,M,ucla
3/15/2025, Vanguard,W,3,37,11,70,0.371,32,9,19,24,4,2,16,1,10,0,56,M,ucla
3/27/2025, Pepperdine,W,3,47,9,91,0.418,45,8,14,26,5,1,7,4,4.5,0,59.5,M,ucla
3/29/2025, Pepperdine,W,4,59,8,111,0.459,53,5,22,35,4,2,21,0,12.5,0,76.5,M,ucla
4/4/2025, Grand Canyon,L,3,43,26,109,0.156,41,2,21,30,3,3,5,1,5.5,0,50.5,M,ucla
4/5/2025, Grand Canyon,W,5,62,19,125,0.344,53,10,42,39,6,1,10,3,6,0,78,M,ucla
4/11/2025, BYU,W,5,64,15,120,0.408,61,12,31,31,6,3,18,0,12,0,88,M,ucla
4/12/2025, BYU,W,4,58,12,96,0.479,51,7,29,23,7,0,23,1,11.5,0,76.5,M,ucla
4/17/2025, Southern California,W,5,64,19,121,0.372,60,8,30,31,5,0,12,1,6,0,78,M,ucla
4/19/2025, Southern California,L,3,40,14,77,0.338,38,3,19,12,7,1,4,2,3,0,46,M,ucla
4/25/2025, Pepperdine,L,5,56,19,101,0.366,52,15,28,24,4,4,16,5,12,0,83,M,ucla
5/8/2025, Belmont Abbey,W,3,44,9,77,0.455,40,5,14,18,1,3,20,0,13,0,62,M,ucla
5/10/2025, Hawaii,W,3,40,10,81,0.37,37,6,16,34,3,2,18,1,11,0,57,M,ucla
5/12/2025, Long Beach St.,L,3,29,15,73,0.192,29,3,18,10,5,1,14,2,8,0,40,M,ucla
04/25/2025,Southern California,L,4,47,24,120,0.192,45,4,22,22,3,3,14,0,10,0,61,M,standford
04/24/2025,BYU,W,5,53,23,123,0.244,51,10,19,33,8,3,25,1,15.5,0,78.5,M,standford
04/23/2025,Menlo,W,4,60,17,112,0.384,55,0,20,32,7,2,20,2,12,0,72,M,standford
04/18/2025,Grand Canyon,L,5,53,20,119,0.277,53,8,27,37,7,1,17,3,9.5,0,70.5,M,standford
04/17/2025,Grand Canyon,L,5,50,18,106,0.302,48,9,24,26,8,0,18,2,9,0,68,M,standford
04/12/2025,Southern California,W,4,65,19,137,0.336,63,4,16,48,3,4,13,1,10.5,0,79.5,M,standford
04/11/2025,Southern California,W,5,73,23,139,0.36,70,4,19,44,2,1,11,2,6.5,0,83.5,M,standford
04/04/2025,BYU,L,4,43,14,107,0.271,41,1,28,19,3,1,27,1,14.5,0,58.5,M,standford
04/03/2025,BYU,L,3,36,15,75,0.28,33,0,16,17,4,0,14,4,7,0,43,M,standford
03/29/2025,Menlo,W,3,46,12,86,0.395,46,5,14,22,5,1,14,3,8,0,59,M,standford
03/28/2025,Menlo,W,3,33,12,69,0.304,33,6,13,18,1,1,10,0,6,0,45,M,standford
03/15/2025,Pepperdine,L,4,51,21,108,0.278,50,1,20,26,2,0,12,1,6,0,58,M,standford
03/14/2025,Pepperdine,L,4,42,26,110,0.145,40,4,14,31,7,2,6,0,5,0,51,M,standford
03/07/2025,UCLA,L,3,26,20,79,0.076,24,3,16,17,5,1,15,1,8.5,0,37.5,M,standford
03/06/2025,UCLA,L,4,37,16,89,0.236,35,4,17,28,8,1,4,1,3,1,44,M,standford
03/01/2025,UC San Diego,L,5,60,26,134,0.254,60,5,23,44,4,1,12,2,7,0,72,M,standford
02/28/2025,UC Merced,W,3,33,12,75,0.28,29,3,13,28,3,1,6,3,4,0,40,M,standford
02/22/2025,Vanguard,W,3,34,14,76,0.263,31,5,17,22,6,2,19,1,11.5,2,50.5,M,standford
02/21/2025,Vanguard,W,4,49,9,99,0.404,41,8,13,31,4,0,7,5,3.5,0,60.5,M,standford
02/15/2025,Master's,L,5,65,17,152,0.316,62,8,29,48,6,2,12,0,8,0,81,M,standford
02/07/2025,Hawaii,W,4,56,17,124,0.315,54,6,14,33,8,1,13,0,7.5,0,69.5,M,standford
02/05/2025,Hawaii,L,5,54,18,124,0.29,51,7,24,33,11,4,16,2,12,0,73,M,standford
02/01/2025,UC Irvine,L,3,42,19,102,0.225,39,2,19,37,6,1,11,3,6.5,0,50.5,M,standford
01/31/2025,UC Irvine,L,3,34,18,78,0.205,33,2,10,24,9,0,10,1,5,0,41,M,standford
01/18/2025,Penn St.,W,4,42,18,99,0.242,37,6,31,37,5,0,20,0,10,0,58,M,standford
01/17/2025,Ohio St.,W,3,30,14,65,0.246,29,11,15,20,2,1,24,0,13,0,54,M,standford
01/11/2025,Ball St.,W,3,47,17,83,0.361,45,5,12,26,4,0,7,0,3.5,0,55.5,M,standford
01/10/2025,Ball St.,L,3,42,18,93,0.258,41,5,12,34,4,0,2,1,1,0,48,M,standford
